City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Lianyuan,CN,58.53,overcast clouds,27.6883,111.6642,Lianyuan Hotel
515,Hualmay,PE,67.95,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
517,Mattoon,US,57.42,clear sky,39.4831,-88.3728,"Holiday Inn Express & Suites Mattoon, an IHG Hotel"
518,Saint-Joseph,RE,71.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
520,Namibe,AO,70.36,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
522,Moyale,KE,72.01,overcast clouds,3.5167,39.0584,La Tahzan Guest House
523,Contai,IN,66.22,clear sky,21.7786,87.7536,PATHFINDER
527,Shenjiamen,CN,68.0,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
528,Chihuahua,MX,72.28,clear sky,28.5,-106.0,
530,Miles City,US,65.37,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
532,Sterling,US,54.59,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
537,Santo Antonio Do Sudoeste,BR,69.78,overcast clouds,-26.0736,-53.7253,Hotel Frontera
538,Palembang,ID,74.5,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
539,Japura,ID,73.78,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
540,Grevesmuhlen,DE,50.11,overcast clouds,53.8667,11.1833,Ringhotel am See
541,Dunedin,NZ,52.81,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
543,Caravelas,BR,73.54,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
545,Diego De Almagro,CL,73.47,clear sky,-26.3667,-70.05,hotel luna del desierto
548,Marquard,ZA,63.28,overcast clouds,-28.6645,27.4305,Le Cheri Guesthouse
549,Tucuman,AR,68.0,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
550,Cap Malheureux,MU,74.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
551,Asyut,EG,69.98,clear sky,27.181,31.1837,Florence Hotel Assiut
554,Wallacetown,NZ,62.2,overcast clouds,-46.3333,168.2667,Annfield Flowers
557,Ascoli Piceno,IT,56.93,light rain,42.8548,13.5749,Hotel Palazzo Guiderocchi
560,Yatou,CN,56.39,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
563,Griffith,US,60.04,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
564,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
565,Fremont,US,67.84,few clouds,37.5483,-121.9886,All Suites Islander Motels
566,Laela,TZ,70.48,overcast clouds,-8.5667,32.05,
570,Marquette,US,59.77,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
575,Celendin,PE,61.32,light rain,-6.8703,-78.1517,Villa Madrid
576,Saint Anthony,US,68.32,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
578,Ciamis,ID,73.81,overcast clouds,-7.3257,108.3534,The Priangan Boutique Hotel @ Yos Sudarso
579,Simao,CN,56.52,broken clouds,22.7886,100.9748,Changyu Hotel
580,Sayyan,YE,52.38,scattered clouds,15.1718,44.3244,متنزه و بحيرة سيان
581,Havelock,US,60.8,overcast clouds,34.8791,-76.9013,Sherwood Motel
584,Palasa,IN,69.94,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
586,Pringsewu,ID,73.71,overcast clouds,-5.3582,104.9744,Urban Style by Front One
587,Abu Kamal,SY,67.01,clear sky,34.4506,40.9171,محطة التلفاز
589,Riachao Das Neves,BR,73.65,moderate rain,-11.7461,-44.91,Casa Costa
595,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
600,Ngunguru,NZ,72.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
603,Shingu,JP,60.48,overcast clouds,33.7333,135.9833,Shingu UI Hotel
606,Iquique,CL,66.24,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
607,Alexandria,EG,71.56,clear sky,31.2156,29.9553,Royal Crown Hotel
612,Little Current,CA,50.09,overcast clouds,45.9793,-81.9248,Hawberry Motel
616,Ilo,PE,67.06,clear sky,-17.6394,-71.3375,Torreblanca Hotel
617,Geraldton,AU,54.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
618,Dauphin,CA,55.54,broken clouds,51.1494,-100.0502,Canway Inn & Suites
619,Rangapara,IN,61.41,broken clouds,26.8167,92.65,Bidhan
622,Vangaindrano,MG,70.25,overcast clouds,-23.35,47.6,Hotel Fanilo
625,Austin,US,71.83,clear sky,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
627,Pipar,IN,68.92,scattered clouds,26.3856,73.5378,Aadam Mansion
630,Kikwit,CD,69.98,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
634,Batemans Bay,AU,64.9,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
640,Quatre Cocos,MU,74.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
641,Carmelo,UY,65.19,scattered clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
643,Saquarema,BR,73.44,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
644,Half Moon Bay,US,67.77,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
647,Kunigal,IN,65.97,broken clouds,13.0222,77.0267,New Durga lodge
649,Cortez,US,69.67,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
653,Ishigaki,JP,73.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
655,Matay,EG,71.8,clear sky,28.419,30.7792,Nag Aespen
659,Aripuana,BR,72.66,light rain,-9.1667,-60.6333,
660,Pingyi,CN,58.33,moderate rain,35.5006,117.6308,Yiranju Hotel
664,Outlook,CA,51.49,clear sky,51.5001,-107.0513,Red Wheel Motel
665,Rongcheng,CN,62.11,light rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
668,Campohermoso,ES,53.11,clear sky,36.9357,-2.1337,Hotel Balisa
670,Kabompo,ZM,69.57,scattered clouds,-13.5927,24.2008,Big Tree
675,Navirai,BR,73.72,scattered clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
677,Burnie,AU,55.58,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
